RANK,Fecha,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,SIR 1 MIS,n.,PPM
C,ago - dic 2019,Encoder,Falla funcional / no inicia prueba,"109,784",2,0,1,0,0,3,27
C,ago - dic 2019,Etiqueta autolevel,Ausente,"109,784",0,3,0,0,0,3,27
C,ago - dic 2019,Etiqueta autolevel,Burbuja,"109,784",0,3,0,0,0,3,27
C,ago - dic 2019,Etiqueta capacidad,Ausente,"109,784",0,2,0,0,0,2,18
C,ago - dic 2019,Etiqueta conagua,Ausentes,"109,784",0,3,1,0,0,4,36
C,ago - dic 2019,Etiqueta de advertencia,Incompleto,"109,784",0,15,0,0,0,15,137
C,ago - dic 2019,Etiqueta de advertencia,Despegado,"109,784",0,3,0,0,0,3,27
C,ago - dic 2019,Etiqueta de atención,Ausentes,"109,784",0,2,1,0,0,3,27
C,ago - dic 2019,Etiqueta de energía,Ausente,"109,784",0,30,6,0,0,36,328
C,ago - dic 2019,Etiqueta garanía,Ausente,"109,784",0,7,0,0,0,7,64
C,ago - dic 2019,Etiqueta Serial,Ausente,"109,784",0,1,0,0,0,1,9
A,ago - dic 2019,Fascia,Serigrafía incompleta,"109,784",40,155,7,0,0,202,"1,84"
B,ago - dic 2019,Fascia,Modelo equivocado,"109,784",14,21,3,0,0,38,346
B,ago - dic 2019,Fascia,Serigrafía movida,"109,784",3,3,8,0,0,14,128
B,ago - dic 2019,Fascia,Boton trabado,"109,784",0,0,0,0,1,1,9
B,ago - dic 2019,Fascia,Overlay con burbuja / grumo,"109,784",43,13,11,0,0,67,610
B,ago - dic 2019,Fascia,Conector mal ensamblado encoder / sin ensamblar,"109,784",0,8,2,0,0,10,91
C,ago - dic 2019,Fascia,Overlay marcado / Rayado,"109,784",29,0,0,0,0,29,264
C,ago - dic 2019,Fascia,Perilla ausente,"109,784",0,3,4,0,0,7,64
C,ago - dic 2019,Fascia,Led opaco,"109,784",24,0,0,0,0,24,219
C,ago - dic 2019,Fascia,Golpe/quebrado,"109,784",22,0,0,0,0,22,200
C,ago - dic 2019,Fascia,Poste deforme,"109,784",0,3,0,0,0,3,27
C,ago - dic 2019,Fascia,Botón fuera de especificación,"109,784",5,1,0,0,0,6,55
C,ago - dic 2019,Fascia,Tiro corto,"109,784",3,1,0,0,0,4,36
C,ago - dic 2019,Fascia,Perilla número de parte equivocado,"109,784",0,2,0,0,0,2,18
C,ago - dic 2019,Fascia,Cable roto de encoder,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,Fascia,Contaminada,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,Fascia,Overlay despegado,"109,784",0,0,1,0,0,1,9
