Fecha,Product/ Platform,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,Warehouse,Dealer,SIR 1 MIS,n.,PPM,R=1:5,$,Min,$,$ TOTAL,R=1:5,R=1:10,1,3,5,30,35,40,48,Priority
oct - dic 2018,,ACU,Reset de tarjeta,140470,0,0,0,0,0,0,34,34,242,5,,,0,0,,,0,0,0,0,0,0,1632,0
oct - dic 2018,,ACU,Daño electrico / no enciende,140470,0,20,19,0,0,0,19,58,413,5,,,0,0,5,,0,60,95,0,0,0,912,0
oct - dic 2018,,ACU,Mal conectado / sin ensamblar conectores,140470,0,1,24,0,0,0,3,28,199,5,,,0,0,,,0,3,120,0,0,0,144,0
oct - dic 2018,,ACU,Tarjeta sin continuidad / uso comercial,140470,0,0,0,0,0,0,2,2,14,2,,,0,0,,,0,0,0,0,0,0,96,0
oct - dic 2018,,ACU,Tarjeta descalibrada / bajo voltage,140470,0,0,0,0,0,0,1,1,7,1,,,0,0,,,0,0,0,0,0,0,48,0
oct - dic 2018,,ACU,Sensor pegado / LED no enciende / LED dañado,140470,0,3,1,0,0,0,1,5,36,4,,,0,0,,,0,9,5,0,0,0,48,0
oct - dic 2018,,ACU,Quemado,140470,0,0,0,0,0,0,1,1,7,1,,,0,0,,,0,0,0,0,0,0,48,0
oct - dic 2018,,ACU,Mal ensamblado,140470,0,1,0,0,0,0,1,2,14,2,,,0,0,,,0,3,0,0,0,0,48,0
oct - dic 2018,,ACU,APS dañado,140470,0,0,0,0,0,0,1,1,7,1,,,0,0,,,0,0,0,0,0,0,48,0
Jul - Sep 2018,Jaguar,ACU,Dañada ,128205,0,10,11,2,0,0,3,26,203,5,14,10,25,39,4,4,,3,5,30,,,48,6880
Jul - Sep 2018,Jaguar,ACU,No enciende- Tarjeta quemada,128205,0,11,17,1,0,0,9,38,296,5,14,10,25,39,4,4,,3,5,30,,,48,6880
Jul - Sep 2018,Jaguar,ACU,No realiza ciclos- Bloqueada/ No realiza primeras pruebas ,128205,0,5,12,0,0,0,9,26,203,5,14,10,25,39,4,4,,3,5,,,,48,4480
Jul - Sep 2018,Jaguar,ACU,No llena- Boton duro/travado ,128205,0,23,6,0,0,0,2,31,242,5,14,10,25,39,4,4,,3,5,,,,48,4480
Jul - Sep 2018,Jaguar,ACU,No inicia ciclos- Abierta o en corto / arneses desconectados ,128205,0,4,13,0,0,0,15,32,250,5,14,10,25,39,4,4,,3,5,,,,48,4480
Jul - Sep 2018,Jaguar,ACU,Tapa no abre- desprogramada ,128205,0,0,2,0,0,0,2,4,31,2,14,10,25,39,4,3,,,5,,,,48,1272
Jul - Sep 2018,Jaguar,ACU,Ciclada- Desprogramada ,128205,0,0,1,0,0,0,1,2,16,1,14,10,25,39,4,3,,,5,,,,48,636
oct - dic 2018,,ACU - Proceso,Carcasa equivocada,140470,0,6,0,0,0,0,0,6,43,4,,,0,0,,,0,18,0,0,0,0,0,0
oct - dic 2018,,ACU - Proceso,Mal identificado / equivocado,140470,0,5,23,0,0,0,0,28,199,5,,,0,0,,,0,15,115,0,0,0,0,0
oct - dic 2018,,ACU - Proceso,Conector dañado,140470,0,1,1,0,0,0,0,2,14,2,,,0,0,,,0,3,5,0,0,0,0,0
oct - dic 2018,,ACU - Proceso,Botón no acciona,140470,0,8,7,0,0,0,0,15,107,5,,,0,0,,,0,24,35,0,0,0,0,0
oct - dic 2018,,ACU - Proceso,Empaque ausente,140470,0,5,0,0,0,0,0,5,36,4,,,0,0,,,0,15,0,0,0,0,0,0
oct - dic 2018,,ACU - Proceso,Falla de candado,140470,0,1,2,0,0,0,0,3,21,3,,,0,0,,,0,3,10,0,0,0,0,0
oct - dic 2018,,ACU - Proceso,Mal programado,140470,0,5,7,0,0,0,0,12,85,,,,,,,,,,,,,,,
oct - dic 2018,,ACU - Proceso,No realiza prueba,140470,0,19,24,0,0,0,0,43,306,,,,,,,,,,,,,,,
oct - dic 2018,,ACU - Proceso,Tornillo falta de torque,140470,0,2,1,0,0,0,0,3,21,,,,,,,,,,,,,,,
oct - dic 2018,,ACU - Proceso,Tornillo ausente,140470,0,4,2,0,0,0,0,6,43,,,,,,,,,,,,,,,
oct - dic 2018,,ACU - Proceso,Pin dañado,140470,0,2,2,0,0,0,0,4,28,,,,,,,,,,,,,,,
oct - dic 2018,,ACU - Proceso,Pivote/Poste quebrado,140470,0,1,3,0,0,0,0,4,28,,,,,,,,,,,,,,,
oct - dic 2018,,ACU - Proceso,Pin fuera de dimensión,140470,0,1,0,0,0,0,0,1,7,1,,,0,0,,,0,3,0,0,0,0,0,0
oct - dic 2018,,ACU - Proceso,Ausente,140470,0,0,1,0,0,0,0,1,7,,,,,,,,,,,,,,,
oct - dic 2018,,ACU - Proceso,Pestaña quebrada,140470,0,0,4,0,0,0,0,4,28,,,,,,,,,,,,,,,
oct - dic 2018,,ACU - Proceso,Dañado,140470,0,1,3,0,0,0,0,4,28,,,,,,,,,,,,,,,
oct - dic 2018,,ACU - Proceso,Agitación de motor fuera de especificación,140470,0,0,6,0,0,0,0,6,43,,,,,,,,,,,,,,,
oct - dic 2018,,ACU - Proceso,Mojado,140470,0,0,0,1,0,0,0,1,7,,,,,,,,,,,,,,,
ago - dic 2019,,ACU //Actuador,En corto,"109,784",0,0,0,0,0,0,1,1,9,4,13.97,27,1.68,15.65,5,4,0,0,0,0,0,0,48,"3,840"
ago - dic 2019,,ACU//Bomba,En corto,"109,784",0,0,16,0,0,0,1,17,155,5,13.57,30,1.87,15.44,5,4,0,0,80,0,0,0,48,"12,800"
mayo-julio 2018,Jaguar,AGITADOR,Suelto-Ruido,"129,704",0,36,3,1,0,0,1,41,316,5,4.22,15,0.72,4.94,4,4,0,108,15,30,0,0,48,"16,080"
mayo-julio 2018,Jaguar,AGITADOR,Objeto Atorado,"129,704",0,1,3,0,0,0,2,6,46,4,4.22,15,0.72,4.94,4,4,0,3,15,0,0,0,96,"7,296"
mayo-julio 2018,Jaguar,AGITADOR,Rompe la ropa,"129,704",0,0,0,0,0,0,1,1,8,1,4.22,15,0.72,4.94,4,4,0,0,0,0,0,0,48,768
ago - dic 2019,,AGITADOR,Suelto / Mal ensamble / Sin ensamblar,"109,784",0,30,22,1,0,0,4,57,519,5,2.99,10,0.62,3.61,3,4,0,90,110,30,0,0,192,"25,320"
ago - dic 2019,,AGITADOR,Equivocado,"109,784",24,95,0,0,0,0,0,119,1084,5,2.99,10,0.62,3.61,3,3,24,285,0,0,0,0,0,"13,905"
ago - dic 2019,,AGITADOR,Roto,"109,784",0,1,1,0,0,0,2,4,36,5,2.99,10,0.62,3.61,3,4,0,3,5,0,0,0,96,"6,240"
ago - dic 2019,,AGITADOR,Tornillo barrido / falta de torque,"109,784",0,16,4,0,0,0,0,20,182,5,2.99,10,0.62,3.61,3,4,0,48,20,0,0,0,0,"4,080"
ago - dic 2019,,AGITADOR,Ausente,"109,784",0,15,0,0,0,0,0,15,137,5,2.99,10,0.62,3.61,3,4,0,45,0,0,0,0,0,"2,700"
ago - dic 2019,,AGITADOR,Tornillo adicional,"109,784",0,0,0,0,0,0,1,1,9,4,2.99,10,0.62,3.61,3,4,0,0,0,0,0,0,48,"2,304"
ago - dic 2019,,AGITADOR,Gap,"109,784",0,0,0,0,0,0,1,1,9,4,2.99,10,0.62,3.61,3,4,0,0,0,0,0,0,48,"2,304"
ago - dic 2019,,AGITADOR,Pandeado,"109,784",0,1,2,0,0,0,0,3,27,5,2.99,10,0.62,3.61,3,4,0,3,10,0,0,0,0,780
ago - dic 2019,,AGITADOR,Tornillo ausente,"109,784",0,4,0,0,0,0,0,4,36,5,2.99,10,0.62,3.61,3,4,0,12,0,0,0,0,0,720
ago - dic 2019,,AGITADOR,Pestaña quebrada,"109,784",0,1,0,0,0,0,0,1,9,4,2.99,10,0.62,3.61,3,4,0,3,0,0,0,0,0,144
oct - dic 2018,,AGITADOR,Tornillo barrido,140470,0,38,1,0,0,0,0,39,278,,,,,,,,,,,,,,,
oct - dic 2018,,AGITADOR,Tornillo capado,140470,0,0,4,0,0,0,0,4,28,,,,,,,,,,,,,,,
oct - dic 2018,,AGITADOR,Falta de torque,140470,0,5,1,0,0,0,0,6,43,,,,,,,,,,,,,,,
oct - dic 2018,,AGITADOR,Tornillo mal ensamblado,140470,0,1,0,0,0,0,0,1,7,,,,,,,,,,,,,,,
oct - dic 2018,,AGITADOR,Sucios,140470,0,0,2,0,0,0,0,2,14,,,,,,,,,,,,,,,
oct - dic 2018,,AGITADOR,Ausente,140470,0,1,0,0,0,0,0,1,7,,,,,,,,,,,,,,,
oct - dic 2018,,AGITADOR,Deforme,140470,0,1,0,0,0,0,1,2,14,,,,,,,,,,,,,,,
oct - dic 2018,,AGITADOR,Equivocados,140470,0,1,0,0,0,0,0,1,7,,,,,,,,,,,,,,,
oct - dic 2018,,AGITADOR,Roto,140470,0,0,0,0,0,0,1,1,7,1,,,0,0,,,0,0,0,0,0,0,48,0
oct - dic 2018,,AGITADOR,Mal ensamblado,140470,0,1,7,0,0,0,1,9,64,5,,,0,0,,,0,3,35,0,0,0,48,0
Jul - Sep 2018,Jaguar,AGITADOR, Desprendido / desajustado ,128205,0,26,7,0,0,0,2,35,273,5,3.9,15,37.5,41.4,4,3,,3,5,,,,48,3360
