RANK,Fecha,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,SIR 1 MIS,n.,PPM,,,,,,,,,,
B,ago - dic 2019,ARNES ACTUADOR,Desconectado,109784,0,1,0,0,3,4,36,,,,,,,,,,
C,ago - dic 2019,ARNES ACTUADOR,Enredado / atrapado,109784,0,1,3,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,Arnes principal,Dañado,109784,0,4,0,0,0,4,36,,,,,,,,,,
B,ago - dic 2019,BOMBA,En corto,109784,1,0,0,0,3,4,36,,,,,,,,,,
C,ago - dic 2019,CAPACITOR,Mal ensamble,109784,4,0,0,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,Etiqueta conagua,Ausente,109784,0,3,1,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,Fascia,Tiro corto,109784,3,1,0,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,Inner tray,Mal pegadas,109784,4,0,0,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,LID,Bumper ausente,109784,2,2,0,0,0,4,36,,,,,,,,,,
B,ago - dic 2019,LID LOCK,Fuera de posición,109784,0,1,2,0,1,4,36,,,,,,,,,,
C,ago - dic 2019,LID LOCK,Tiro corto,109784,4,0,0,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,Mega,Leds encendidos (dañada),109784,3,0,0,1,0,4,36,,,,,,,,,,
C,ago - dic 2019,Mega,Mal ensamble,109784,2,1,1,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,Tarjeta Robin,Falta de LED,109784,4,0,0,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,Top panel,Bezel ausente,109784,0,0,4,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,Top panel,Contaminado,109784,4,0,0,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,TRANSMISIÓN,Tornillo barrido,109784,0,2,2,0,0,4,36,,,,,,,,,,
C,ago - dic 2019,Tube ring,Rayado,109784,0,4,0,0,0,4,36,,,,,,,,,,
B,ago - dic 2019,ACU,En corto,109784,1,0,0,1,1,3,27,,,,,,,,,,
C,ago - dic 2019,ACU,Conector quebrado,109784,1,0,2,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,ACU,Falla de programación,109784,3,0,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,AGITADOR,Pandeado,109784,0,1,2,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Arnes cable de tierra,Enredado / atrapado,109784,0,1,2,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,ARNES DE MOTOR,Enredado / atrapado,109784,0,1,2,0,0,3,27,,,,,,,,,,
B,ago - dic 2019,Arnes principal,Mal ensamble,109784,0,2,0,1,0,3,27,,,,,,,,,,
C,ago - dic 2019,Arnes upper,Pin dañado,109784,0,3,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,BASE PROT-PACKAGIN,Falta EPS,109784,3,0,0,0,0,3,27,,,,,,,,,,
B,ago - dic 2019,BOMBA,Abierta,109784,0,0,0,0,3,3,27,,,,,,,,,,
C,ago - dic 2019,BOMBA,conector dañado,109784,0,0,3,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Bracket housing,Tornillo ausente,109784,0,0,3,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Bumper,Ausente,109784,0,3,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Canasta drum,Mal ensamble,109784,0,3,1,0,0,4,27,,,,,,,,,,
B,ago - dic 2019,CAPACITOR,Dañado,109784,0,1,1,0,1,3,27,,,,,,,,,,
C,ago - dic 2019,CAPACITOR,Conector dañado,109784,2,1,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Clip arnes blanco,Mal ensamble,109784,0,3,0,0,0,3,27,,,,,,,,,,
B,ago - dic 2019,COVER PULLEY,Suelto,109784,0,0,0,0,3,3,27,,,,,,,,,,
C,ago - dic 2019,Encoder,Falla funcional,109784,2,0,1,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Etiqueta autolevel,Ausente,109784,0,3,0,0,0,3,27,,,,,,,,,,
